Participant: Elena Samarina
Time: 427.11
Condition: 2d

mask_png,x,y,z
Stimuli_00.png,0.262042,0.132677,0.000000
Stimuli_01.png,1.000000,0.122624,0.000000
Stimuli_02.png,0.665216,0.562767,0.000000
Stimuli_03.png,0.826476,-0.451909,0.000000
Stimuli_04.png,1.000000,-0.458626,0.000000
Stimuli_05.png,0.460270,0.125959,0.000000
Stimuli_06.png,0.813042,0.129342,0.000000
Stimuli_07.png,0.514008,0.562767,0.000000
Stimuli_08.png,0.819759,-0.814780,0.000000
Stimuli_09.png,0.628248,0.139394,0.000000
Stimuli_10.png,1.000000,-0.824879,0.000000
Stimuli_11.png,0.839911,0.569484,0.000000
